AFF_LOVE_POINT	Πόντοι αγάπης: %d%%
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Δεν μπορείς να μετακινήσεις αντικείμενα όσο είναι ανοιχτό το ιδιωτικό κατάστημα.
MUSIC_EMPTY_MUSIC_LIST	Δεν υπάρχει μουσική περιβάλλοντος.
MUSIC_METIN2_DEFAULT_THEMA	Συνήθης μουσική Metin2
MUSIC_NOT_SELECT_MUSIC	Δεν επιλέχθηκε αρχείο μουσικής.
NEEFD_REST	Πρέπει να ξεκουραστείς πρώτα.
NOT_YET_SUPPORT	Δεν υποστηρίζεται ακόμη
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Δε μπορείς να ενεργοποιήσεις Mode Συντεχνίας όταν δεν ανήκεις σε Συντεχνία.
OPTION_PVPMODE_NOT_SUPPORT	Δε μπορείς να επιλέξεις αυτή τη διαμόρφωση στο PvP.
OPTION_PVPMODE_PROTECT	Πρέπει να έχεις φτάσει στο επίπεδο %d για να αλλάξεις την εφαρμογή PvP.
PARTY_BONUS_ATTACKER	Αξία Επίθεσης: +%d	SA
PARTY_BONUS_BERSERKER	Ταχύτητα Επίθεσης: +%d	SA
PARTY_BONUS_BUFFER	Διάρκεια Ικανοτήτων: +%d	SA
PARTY_BONUS_DEFENDER	Άμυνα: +%d	SA
PARTY_BONUS_EXP	Bonus EXP: %d%%	SA
PARTY_BONUS_SKILL_MASTER	Μεγ. SP: +%d	SA
PARTY_BONUS_TANKER	Μεγ. HP: +%d	SA
PARTY_BREAK_UP	Διαγραφή Ομάδας
PARTY_DO_YOU_ACCEPT	Ο %s σας κάλεσε στην Ομάδα.
PARTY_DO_YOU_JOIN	 σε κάλεσε στην ομάδα του. Αποδέχεσαι;
PARTY_EXP_DISTRIBUTION_MODE	EXP Κατανομή
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Εξαρτ. από επίπεδο
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Τα μέλη της ομάδας με μεγαλύτερο επίπεδο αποκτούν περισσότερη εμπειρία.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	Ομοιόμορφα
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Όλα τα μέλη της ομάδας κερδίζουν την ίδια ΕΧΡ.
PARTY_HEAL_ALL_MEMBER	Αποκατάσταση όλων.
PARTY_INCREASE_AREA_150	Η ακτίνας ομάδας αναβαθμίστηκε κατά παράγοντα 1,5.	SNA
PARTY_INCREASE_AREA_200	Η ακτίνας ομάδας αναβαθμίστηκε κατά παράγοντα 2.	SNA
PARTY_LEAVE	Έξοδος από ομάδα
PARTY_MEMBER_OFFLINE	[Εκτός σύνδεσης]
PARTY_RECALL_MEMBER	Κλήση μελών ομάδας.
PARTY_REQUEST_DENIED	Η αίτηση σου απορρίφθηκε.
PARTY_SET_ATTACKER	Ορισμός ως Επιτιθέμενος.
PARTY_SET_BERSERKER	Ορισμός ως Berserker.
PARTY_SET_BUFFER	Ορισμός ως Blocker.
PARTY_SET_DEFENDER	Ορισμός ως Αμυνόμενος.
PARTY_SET_NORMAL	Ρυθμίσεις υποχώρησης.
PARTY_SET_SKILL_MASTER	Επιλογή ώς βασικής ικανότητας.
PARTY_SET_TANKER	Ορισμός ως Μαχητής Σώμα με Σώμα
PARTY_SKILL_ATTACKER	Base Attack Value Attacker +%.0f
PARTY_SKILL_BERSERKER	Attack Speed Berserker +%.0f
PARTY_SKILL_BUFFER	Διάρκεια Ικανότητας Μπλοκ +%.0f
PARTY_SKILL_DEFENDER	Defence Defender +%.0f
PARTY_SKILL_SKILL_MASTER	Max. SP Ικανότητα Master +%.0f
PARTY_SKILL_TANKER	Mεγ. HP Μαχητή Σώμα με Σώμα +%.0f
PASSWORD_TITLE	Κωδικός αποθήκης
PICK_ITEM_TITLE	Αριθμός Αντικειμένου
PICK_MONEY_TITLE	Σύνολο
PRIVATE_SHOP_CANNOT_SELL_ITEM	Δε μπορείς να πουλήσεις αυτό το Αντικείμενο σε Ιδιωτικό Κατάστημα.
PRIVATE_SHOP_CLOSE_QUESTION	Θέλεις να κλείσεις το Ιδιωτικό Κατάστημα;
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Όνομα του ιδιωτικού Καταστήματος.
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Τιμή
PVP_LEVEL0	Ιπποτικός
PVP_LEVEL1	Ευγενής
PVP_LEVEL2	Καλός
PVP_LEVEL3	Φιλικός
PVP_LEVEL4	Ουδέτερος
PVP_LEVEL5	Επιθετικός
PVP_LEVEL6	Απατηλός
PVP_LEVEL7	Κακόβουλος
PVP_LEVEL8	Σκληρός
PVP_MODE_GUILD	Ενεργό PvP Συντεχνία
PVP_MODE_KILL	Ενεργό PvP Ελεύθερο
PVP_MODE_NORMAL	Ενεργό PvP Ειρήνη
PVP_MODE_PROTECT	Ενεργό PvP προστασία
PVP_MODE_REVENGE	Ενεργό PvP Εχθρικό
PVP_OPTION_KILL	Ελεύθερο
PVP_OPTION_NORMAL	Ειρήνη
PVP_OPTION_PROTECT	Προστασία
PVP_OPTION_REVENGE	Εχθρικό
QUEST_APPEND	Ανέλαβες Νέα Αποστολή.
QUEST_MIN	Λεπ.
QUEST_SEC	Δευτ.
QUEST_TIMEOVER	Λήξη Χρόνου
QUEST_UNLIMITED_TIME	Χωρίς χρονικό όριο.
QUICKSLOT_REGISTER_DISABLE_ITEM	Το αντικείμενο δε μπορεί να προστεθεί στο ΠεδίοΓρήγορης Πρόσβασης.
RECEIVE_MESSAGE	Ο %s σου έστειλε μήνυμα.
REFINE_COST	Κόστος Προαγωγής: %d Yang
REFINE_DESTROY_WARNING	Το Αντικείμενο μπορεί να καταστραφεί κατά τον \n εξευγενισμό.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Θέλεις να αναβαθμίσεις αυτό το αντικείμενο;
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	αλλά αν αποτύχεις, το αντικείμενο μπορεί να καταστραφεί. \n Θέλεις να συνεχίσεις;
REFINE_DOWN_GRADE_WARNING	Το αντικείμενο μπορεί να υποβαθμιστεί κατά τον \n εξευγενισμό.
REFINE_DO_YOU_SEPARATE_METIN	Να αφαιρεθούν όλοι οι Λίθοι Πνεύματος;
REFINE_FAILURE_CAN_NOT_ATTACH	%s δε μπορεί να περιληφθεί σε αυτό το αντικείμενο.
REFINE_FAILURE_DEL_ITEM	Ο εξευγενισμός απέτυχε. \n Το αντικείμενο καταστράφηκε.
REFINE_FAILURE_EQUIP_ITEM	Δεν μπορείς να βελτιώσεις αντικείμενα που φοράς.
REFINE_FAILURE_GRADE_DOWN	Ο εξευγενισμός απέτυχε. \n Ο βαθμός του αντικειμένου μειώθηκε.
REFINE_FAILURE_KEEP_GRADE	Ο εξευγενισμός απέτυχε.\nΕυτυχώς, το αντικείμενο διατηρήθηκε.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Δε μπορεί να αφαιρεθεί η Λίθος Metin.
REFINE_FAILURE_NEED_BETTER_SCROLL	Χρειάζεσαι καλύτερο Πάπυρο Προόδου.
REFINE_FAILURE_NO_GOLD_SOCKET	Δεν υπάρχει Χρυσή υποδοχή για να περιλάβει το %s .
REFINE_FAILURE_NO_MORE_SOCKET	Δε μπορείς να φτιάξεις άλλες υποδοχές.
REFINE_FAILURE_NO_SOCKET0	Δεν υπάρχει ελεύθερη υποδοχή για το %s.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	Δε μπορείς να φτιάξεις υποδοχές σε αυτό το αντικείμενο.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Το αντικείμενο δε μπορεί να ανβαθμιστεί.
REFINE_POPUP_NO_DOWNGRADE_MESSAGE	Το αναβαθμισμένο αντικείμενο δεν μπορεί ούτε να καταστραφεί ούτε \n να υποβαθμιστεί.
REFINE_SUCCESS	Η αναβάθμιση ήταν επιτυχής.
REFINE_SUCCESS_PROBALITY	Πιθανότητα Αναβάθμισης %d%%
REFINE_WARNING2	Θέλεις να συνεχίσεις;
SAFEBOX_ERROR	Εισήγαγες λάθος συνθηματικό.
SAFEBOX_SELL_DISABLE_SAFEITEM	Δε μπορείς να πουλήσεις αποθηκευμένα αντικείμενα.
SAFEBOX_WRONG_PASSWORD	Τα συνθηματικά πρέπει να είναι ακριβώς τα ίδια.
SCREENSHOT_SAVE1	σώθηκε στο
SCREENSHOT_SAVE2	Screenshot File
SCREENSHOT_SAVE_FAILURE	Απότυχε η αποθήκευση της φωτογραφίας.
SECOND	Δευτ
SELECT_CAN_NOT_DELETE	Δεν μπορείς να διαγράψεις τον χαρακτήρα.
SELECT_CHANGED_NAME	Άλλαξες το όνομα χαρακτήρα σου.
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	Το όνομα του χαρακτήρα υπάρχει ήδη.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Προσπάθησε ξανά.
SELECT_CHANGE_FAILURE_STRANGE_NAME	Λάθος όνομα χαρακτήρα.
SELECT_CHANGE_NAME_TITLE	Αλλαγή ονόματος χαρακτήρα
SELECT_DELEING	Ο χαρακτήρας θα διαγραφεί.
SELECT_DELETED	Η διαγραφή ήταν επιτυχημένη.
SELECT_DO_YOU_DELETE_REALLY	Θέλεις να συνεχίσεις;
SELECT_EMPTY_SLOT	Το πεδίο είναι κενό.
SELECT_INPUT_CHANGING_NAME	Εισαγωγή νέου ονόματος.
SELECT_NOT_JOIN_GUILD	Όχι Συντεχνία
SHOP_BUY_INFO	Διάλεξε στο παράθυρο του καταστήματος, ποια αντικείμενα θέλεις να αγοράσεις.
SHOP_CANNOT_SELL_ITEM	Το Αντικείμενο δε μπορεί να πωληθεί.
SHOP_ERROR_UNKNOWN	Άγνωστο Σφάλμα Καταστήματος: %s
SHOP_INVALID_POS	Δε μπορεί να χρησιμοποιηθεί εδώ.
SHOP_INVENTORY_FULL	Ο κατάλογός σου είναι πλήρης.
SHOP_NOT_ENOUGH_MONEY	Μη επαρκές Yang
SHOP_NOT_ENOUGH_MONEY_EX	Δεν έχεις αρκετό Yang.
SHOP_SELL_INFO	Επίλεξε το αντικείμενο που θέλεις να πουλήσεις στον κατάλογο.
SHOP_SOLDOUT	Ξεπούλημα
SHOT_ERROR_UNKNOWN	Άγνωστο σφάλμα στην επίθεση από απόσταση: %s
SKILL_BOHO	Ανάκλαση
SKILL_CHEONGEUN	Δυνατό Σώμα
SKILL_EUNHYEONG	Παραλλαγή
SKILL_FIRE	Μόνιμη Φωτιά
SKILL_FISHMIND	Ενεργός Βόλος Ψαρέματος
SKILL_GEOMGYEONG	Αύρα του Ξίφους
SKILL_GICHEON	Βοήθεια του Δράκου
SKILL_GONGPO	Φόβος
SKILL_GRADE_NAME_GRAND_MASTER	%s Αρχιμάστορας
SKILL_GRADE_NAME_MASTER	%s Master
SKILL_GRADE_NAME_PERFECT_MASTER	%s Τέλειος Κύριος
SKILL_GROUP_ASSASSIN_1	Λεπίδα
SKILL_GROUP_ASSASSIN_2	Τόξο
SKILL_GROUP_HORSE	Ιππευτικές Ικανότητες
SKILL_GROUP_SHAMAN_1	Δράκοντας
SKILL_GROUP_SHAMAN_2	Θεραπεία
SKILL_GROUP_SURA_1	Όπλο
SKILL_GROUP_SURA_2	Μαγεία
SKILL_GROUP_WARRIOR_1	Σώμα
SKILL_GROUP_WARRIOR_2	Πνεύμα
SKILL_GWIGEOM	Μαγεμένη Λεπίδα
SKILL_GYEONGGONG	Φτερωτή Κίνηση
SKILL_HEUKSIN	Μαύρη Προστασία
SKILL_HOSIN	Ευλογία
SKILL_INC_ATKSPD	Αυξημένη ταχύτητα επίθεσης
SKILL_INC_MOVSPD	Αυξημένη ταχύτητα
SKILL_JEONGWI	Έξαψη Μάχης
SKILL_JEUNGRYEOK	Επίθεση +
SKILL_JUMAGAP	Μαγική Πανοπλία
SKILL_KWAESOK	Ταχύτητα
SKILL_MUYEONG	Φάντασμα της Φλόγας
SKILL_NEED_EMPTY_BOTTLE	Δεν έχω άδειο Μπουκάλι.
SKILL_NEED_POISON_BOTTLE	Δεν έχω Μπουκάλι Δηλητήριου.
SKILL_ONLY_FOR_GUILD_WAR	Μπορείς να το χρησιμοποιήσεις μόνο σε Πόλεμο Συντεχνιών.
SKILL_PABEOP	Ξόρκι Εξουδετέρωσης
SKILL_POWERFUL_STRIKE	Επίθεση Αποχαύνωσης
SKILL_SLOW	Αργά
SKILL_STUN	Σάστισμα
SKILL_SUMMON_DESCRIPTION	Πιθανότητα Επίκλησης: %d%%
SKILL_TOOLTIP_INT	Ευφυΐα
SKILL_TOOLTIP_LEVEL	Επίπεδο
SKILL_TOXICDIE	Δηλητηρίαση
STAT_MINUS_CON	Προσαρμογή Ζωτικότητας (Πιθανότητα: %d)
STAT_MINUS_DEX	Προσαρμογή Ευκινησίας (απομένει πιθανότητα: %d)
STAT_MINUS_INT	Ρύθμιση Ευφυΐας (Πιθανότητα: %d)
STAT_MINUS_STR	Ρύθμιση Δύναμης (Πιθανότητα: %d)
STAT_TOOLTIP_CON	Αύξηση HP και άμυνας
STAT_TOOLTIP_DEX	Αυξάνει επίθεση και αποφυγή
STAT_TOOLTIP_INT	Αύξηση SP, Μαγικής Επίθεσης και Άμυνας
STAT_TOOLTIP_STR	Αυξάνει αξία επίθεσης και ζημιά
SYMBOLLIST_TITLE	Καταχώρηση σημαίας Συντεχνίας
SYSTEM_OPTION_CPU_TILING_1	Η κατάσταση CPU Tiling μπορεί να αναβαθμίσει την ταχύτητα ενός αργού υπολογιστή.
SYSTEM_OPTION_CPU_TILING_2	Αν παρουσιαστούν προβλήματα γραφικών, επίλεξε «Ρυθμίσεις συστήματος» ή «CONFIG.exe».
SYSTEM_OPTION_CPU_TILING_3	και άλλαξε έτσι την κατάσταση σε GPU Tiling.
SYSTEM_OPTION_GPU_TILING_1	Η κατάσταση GPU Tiling μπορεί να εκτελείται πιο αργά σε έναν αργό υπολογιστή.
SYSTEM_OPTION_GPU_TILING_2	Αν υπάρχουν προβλήματα γραφικών, επίλεξε «Επιλογές συστήματος» ή «CONFIG.exe».
SYSTEM_OPTION_GPU_TILING_3	και άλλαξε έτσι την κατάσταση σε GPU Tiling.
SYSTEM_OPTION_TILING_EXIT	Για την αλλαγή της κατάστασης Tiling πρέπει να γίνει επανεκκίνηση παιχνιδιού.
TARGET_BUTTON_ACCEPT_FIGHT	Συμφωνία
TARGET_BUTTON_AVENGE	Εκδίκηση
TARGET_BUTTON_BUILDING_DESTROY	Καταστροφή
TARGET_BUTTON_DISMOUNT	Αφίππευση
TARGET_BUTTON_EMOTION_ALLOW	Συναισθήματα
TARGET_BUTTON_EXCHANGE	Ανταλλαγή
TARGET_BUTTON_EXCLUDE	Απόκλεισε
TARGET_BUTTON_EXIT_OBSERVER	Τέλος Observer Mode
TARGET_BUTTON_FIGHT	Μονομαχία
TARGET_BUTTON_FRIEND	Φίλος
TARGET_BUTTON_INVITE_GUILD	Πρόσκληση Συντεχνίας
TARGET_BUTTON_INVITE_PARTY	Πρόσκληση Ομάδας
TARGET_BUTTON_LEAVE_PARTY	Εγκατάλειψη Ομάδας
TARGET_BUTTON_REMOVE_GUILD	Αφαίρεση από τη συντεχνία
TARGET_BUTTON_REQUEST_ENTER_PARTY	Μπες στην Ομάδα
TARGET_BUTTON_VIEW_EQUIPMENT	Πανοπλία
TARGET_BUTTON_WHISPER	Ψίθυρος
TARGET_LEVEL_BOSS	Αρχηγός
TARGET_LEVEL_KING	Επίπεδο 5.
TARGET_LEVEL_KNIGHT	Επίπεδο 3.
TARGET_LEVEL_PAWN	Επίπεδο 1.
TARGET_LEVEL_S_KNIGHT	Επίπεδο 4.
TARGET_LEVEL_S_PAWN	Επίπεδο 2.
TASKBAR_ATTACK	Επίθεση
TASKBAR_AUTO	Αυτόματη επίθεση
TASKBAR_CAMERA	Κάμερα
TASKBAR_EXP	Εμπειρία
TASKBAR_HP	HP
TASKBAR_MOVE	Κίνηση
TASKBAR_SKILL	Ικανότητα
TASKBAR_SP	SP
TASKBAR_ST	ST
THING_COUNT	όλα
TOOLTIP_ANTI_CRITICAL_PCT	Αντίσταση σε κρίσιμα χτυπήματα +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	Αντίσταση σε διατρητικά χτυπήματα +%d%%	SA
TOOLTIP_ANTI_SELL	Δε μπορεί να πωληθεί σε κατάστημα
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Δυνατό ενάντια σε Ζώα +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Δυνατό ενάντια σε Νίντζα +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Δυνατό ενάντια σε Διάβολο +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Δυνατό ενάντια σε Ημιάνθρωπους +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Δυνατό ενάντια σε Μυστικιστές +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Δυνατό ενάντια σε Τέρατα +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Δυνατό ενάντια σε Ορκ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Δυνατό ενάντια σε Σαμάνους +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Δυνατό ενάντια σε Sura +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Δυνατό ενάντια σε Απέθαντους +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Δυνατό ενάντια σε Πολεμιστές +%d%%	SA
TOOLTIP_APPLY_BLOCK	Πιθανότητα απόκρουσης επίθεσης σώμα με σώμα %d%%	SA
TOOLTIP_APPLY_CRITICAL_PCT	Πιθανότητα Κρίσιμου Χτυπήματος +%d%%	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% πιθανότητα να ανακτήσεις  SP όταν σε χτυπήσουν	SA
TOOLTIP_APPLY_DODGE	Πιθανότητα να αποφύγεις βέλη %d%%	SA
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% πιθανότητα για EXP Bonus	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% πιθανότητα για διπλάσια Yang	SA
TOOLTIP_APPLY_IMMUNE_FALL	Ανοσία στην πτώση	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Άμυνα στην καθυστέρηση	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Άμυνα στη συσκότιση	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% πιθανότητα για διπλάσια αντικείμενα	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% πιθανότητα ανάκτησης HP	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% πιθανότητα ανάκτησης SP	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% Πιθανότητα κλοπής Μάνα	SA
TOOLTIP_APPLY_MAX_HP_PCT	Μεγ. HP +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	Μεγ. SP +%d%%	SA
TOOLTIP_APPLY_NOAFFECT	Χωρίς αποτέλεσμα
TOOLTIP_APPLY_NO_DEATH_PENALTY	Δεν χάνονται βαθμοί εμπειρίας κατά την ανάσταση του χαρακτήρα στον τόπο θανάτου.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	%d%% Πιθανό Χτύπημα Διάτρησης	SA
TOOLTIP_APPLY_POISON_PCT	Πιθανότητα Δηλητηρίασης %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Αντίσταση στο δηλητήριο %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	Αύξηση επίδρασης %d%% φίλτρου	SA
TOOLTIP_APPLY_REFLECT_CURSE	Πιθανότητα ανάκλασης κατάρας: %d%%	SA
TOOLTIP_APPLY_REFLECT_MELEE	%d%% πιθανότητα ανάκλασης χτυπήματος σώμα με σώμα	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	Πιθανότητες άμυνας από επιθέσεις ninja: %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Άμυνα Καμπάνας %d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Άμυνα Στιλέτου %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Άμυνα Βεντάλιας%d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Πιθανότητες άμυνας από επιθέσεις shaman: %d%% 	SA
TOOLTIP_APPLY_RESIST_SURA	Πιθανότητες άμυνας από επιθέσεις sura: %d%% 	SA
TOOLTIP_APPLY_RESIST_SWORD	Άμυνα Ξίφους %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Άμυνα Δύο Χεριών %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Πιθανότητες άμυνας από επιθέσεις warrior: %d%% 	SA
TOOLTIP_APPLY_RESIST_WIND	Αντίσταση Ανέμου %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Η πιθανότητα να μάθεις από τα βιβλία, αναβαθμίστηκε κατά παράγοντα 2,5.	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Αν αποτύχει η εκμάθηση, έχεις άλλη μια προσπάθεια.	SNA
TOOLTIP_APPLY_SLOW_PCT	%d%% πιθανότητα επιβράδυνσης	SA
TOOLTIP_APPLY_STEAL_HP	%d%% ζημιά θα απορροφηθεί από HP.	SA
TOOLTIP_APPLY_STEAL_SP	%d%% ζημιά απορροφάται από SP.	SA
TOOLTIP_APPLY_STUN_PCT	%d%% πιθανότητα λιποθυμίας	SA
TOOLTIP_ARMOR	Πανοπλία
TOOLTIP_ARROW	Βέλος
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATT_GRADE	Αξία Επίθεσης +%d	SA
TOOLTIP_ATT_SPEED	Ταχύτητα Επίθεσης +%d%%	SA
TOOLTIP_AUTO_POTION_HP	Ελιξήριο Ήλιου
TOOLTIP_AUTO_POTION_REST	Υπόλοιπο: %.2f%%
TOOLTIP_AUTO_POTION_SP	Ελιξήριο Φεγγαριού
TOOLTIP_AUTO_POTION_USING	Ενεργό
TOOLTIP_BOW_DISTANCE	Βεληνεκές Τόξου +%dm	SA
TOOLTIP_BUYPRICE	Τιμή: %s
TOOLTIP_CAST_SPEED	Ταχύτητα Μαγείας +%d%%	SA
TOOLTIP_CON	Ζωτικότητα +%d	SA
TOOLTIP_COSTUME_ATTR_BONUS	Μπόνους φορεσιάς %d%%	SA
TOOLTIP_DEF_GRADE	Άμυνα +%d	SA
TOOLTIP_DEX	Ευκινησία +%d	SA
TOOLTIP_DRAGON_SOUL_DECK1	Γη	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Ουρανός	SNA
TOOLTIP_EAR	Σκουλαρίκι
TOOLTIP_ENERGY	Ενέργεια %d	SA
TOOLTIP_FISHINGROD_EXP	Βαθμοί: %d / %d
TOOLTIP_FISHINGROD_LEVEL	Επίπεδο: %d
TOOLTIP_FISHINGROD_UPGRADE1	Δώσε το στον ψαρά,
TOOLTIP_FISHINGROD_UPGRADE2	για να λάβεις ένα
TOOLTIP_FISHINGROD_UPGRADE3	καλύτερο Καλάμι Ψαρέματος.
TOOLTIP_FISH_LEN	Μήκος: %.2fcm
TOOLTIP_HELMET	Κράνος
TOOLTIP_HP_REGEN	Αναγέννηση HP +%d%%	SA
TOOLTIP_INT	Ευφυΐα +%d	SA
TOOLTIP_ITEM_ATT_GRADE	Αξία Επίθεσης %d
TOOLTIP_ITEM_ATT_POWER	Αξία Επίθεσης %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Αξία Επίθεσης %d
TOOLTIP_ITEM_ATT_SPEED	Ταχύτητα Επίθεσης %s
TOOLTIP_ITEM_DEF_GRADE	Άμυνα %d
TOOLTIP_ITEM_FAST	Γρήγορα
TOOLTIP_ITEM_LIMIT_CON	Μέγιστο όριο ζωτικότητας (VIT): %d
TOOLTIP_ITEM_LIMIT_DEX	Ανώτατο όριο ευκινησίας: %d
TOOLTIP_ITEM_LIMIT_INT	Ανώτατο όριο Ευφυΐας: %d
TOOLTIP_ITEM_LIMIT_LEVEL	Από Επίπεδο: %d
TOOLTIP_ITEM_LIMIT_STR	Ανώτατο όριο Δύναμης: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Αξία Μαγικής άμυνας %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Αξία Μαγικής άμυνας %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Μαγική άμυνα %d
TOOLTIP_ITEM_NORMAL	Κανονικό
TOOLTIP_ITEM_SLOW	Αργό
TOOLTIP_ITEM_VERY_FAST	Πολύ Γρήγορο
TOOLTIP_ITEM_VERY_SLOW	Πολύ Αργό
TOOLTIP_ITEM_WEARABLE_JOB	[ Φοριέται ]
TOOLTIP_LOTTERY_STEP_NUMBER	%d
TOOLTIP_LOTTO_NUMBER	Τυχερός Αριθμός: %d
TOOLTIP_MAGIC_ATTBONUS_PER	Μαγική επίθεση +%d%%	SA
TOOLTIP_MAGIC_ATT_GRADE	Αξία Μαγικής άμυνας +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	Μαγική άμυνα +%d	SA
TOOLTIP_MALL_ATTBONUS	Αξία Επίθεσης +%d%%	SA
TOOLTIP_MALL_ATTBONUS_STATIC	Αξία Επίθεσης +12~15%	SNA
TOOLTIP_MALL_ATT_SPEED	Αυξημένη ταχύτητα επίθεσης +%d%%	SA
TOOLTIP_MALL_AUTOLOOT	Χέρι που μαζεύει αυτόματα τα πεσμένα Yang	SNA
TOOLTIP_MALL_DEFBONUS	Άμυνα +%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	Άμυνα +12~15%	SNA
TOOLTIP_MALL_EXPBONUS	EXP +%d%%	SA
TOOLTIP_MALL_EXPBONUS_P_STATIC	iCafe EXP Bonus +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	Αυξάνει την EXP που κερδίζεις κατά 50%	SNA
TOOLTIP_MALL_FISH_MIND	Διπλασιάζει την πιθανότητα να πιάσεις ψάρι.	SNA
TOOLTIP_MALL_GOLDBONUS	Η πιθανότητα να βρεις Yang πολλαπλασιάζεται επί %.1f	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	Διπλασιάζει την πιθανότητα να βρεις Yang	SNA
TOOLTIP_MALL_ITEMBONUS	Η πιθανότητα να βρεις αντικείμενα πολλαπλασιάζεται επί %.1f	SA
TOOLTIP_MALL_ITEMBONUS_P_STATIC	iCafe Πιθανότητα να βρεις αντικείμενα συν %.1f%%	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	Διπλασιάζει την πιθανότητα να βρεις αντικείμενα	SNA
TOOLTIP_MALL_MARRIAGE_FAST	Οι βαθμοί αγάπης αυξάνονται γρηγορότερα.	SNA
TOOLTIP_MALL_SAFEBOX	Κερδίζεις 2 επιπλέον αποθηκευτικούς χώρους	SNA
TOOLTIP_MAX_HP	Μεγ. HP +%d	SA
TOOLTIP_MAX_HP_PCT	Μεγ. HP +%d%%	SA
TOOLTIP_MAX_SP	Μεγ. SP +%d	SA
TOOLTIP_MAX_SP_PCT	Μεγ. SP +%d%%	SA
TOOLTIP_MAX_STAMINA	Μεγ. Αντοχή +%d	SA
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Μαγική επίθεση/εξ επαφής +%d%%	SA
TOOLTIP_MEMORIZED_POSITION	%s (%d, %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	GPS ERROR(%d, %d)
TOOLTIP_MOV_SPEED	Ταχύτητα %d%%	SA
TOOLTIP_NECK	Περιδέραιο
