AFF_LOVE_POINT	Body za lásku: %d%%
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Opravdu chceš vylepšit tento předmět?
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	ale v případě neúspěchu bude předmět zničen. Chceš pokračovat?
REFINE_DOWN_GRADE_WARNING	Předmět by se mohl zušlechtěním zhoršit.
REFINE_DO_YOU_SEPARATE_METIN	Chceš odstranit všechny kameny ducha?
REFINE_FAILURE_CAN_NOT_ATTACH	%s nelze přidat k předmětu.
REFINE_FAILURE_DEL_ITEM	Zušlechtění se nezdařilo. \n Předmět byl zničen.
REFINE_FAILURE_EQUIP_ITEM	Nemůžeš vylepšovat používané předměty.
REFINE_FAILURE_GRADE_DOWN	Zušlechtění se nezdařilo. \n Úroveň předmětu byla snížena.
REFINE_FAILURE_KEEP_GRADE	Zušlechtění se nezdařilo.\nNaštěstí se předmětu nic nestalo.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Nelze odstranit kámen ducha.
REFINE_FAILURE_NEED_BETTER_SCROLL	Potřebuješ lepší pergamen zlepšování.
REFINE_FAILURE_NO_GOLD_SOCKET	Neexistuje žádná úchytka ze zlata, do kterého lze přidat %s.
REFINE_FAILURE_NO_MORE_SOCKET	Nemůžeš přidat žádné další úchytky.
REFINE_FAILURE_NO_SOCKET0	Neexistuje žádná úchytka, do kterého lze přidat %s.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	K tomuto předmětu nelze přidat žádná úchytka.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Tento předmět nelze zlepšit.
REFINE_POPUP_NO_DOWNGRADE_MESSAGE	Vylepšený předmět nelze zničit \n nebo snížit jeho úroveň.
REFINE_SUCCESS	Toto zlepšení předmětu bylo úspěšné.
REFINE_SUCCESS_PROBALITY	Šance na zlepšení: %d%%
REFINE_WARNING2	Chceš pokračovat?
SAFEBOX_ERROR	Zadal jsi špatné heslo.
SAFEBOX_SELL_DISABLE_SAFEITEM	Nemůžeš prodat žádný z uložených předmětů.
SAFEBOX_WRONG_PASSWORD	Hesla musí být identická.
SCREENSHOT_SAVE1	je uložen v
SCREENSHOT_SAVE2	Složka screenshotů
SCREENSHOT_SAVE_FAILURE	Uložení screenshotu se nezdařilo.
SECOND	sek
SELECT_CAN_NOT_DELETE	Tuto postavu nemůžeš smazat.
SELECT_CHANGED_NAME	Změnil jsi název postavy.
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	Tento název postavy už existuje.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Zkus to znovu.
SELECT_CHANGE_FAILURE_STRANGE_NAME	Toto je špatný název postavy.
SELECT_CHANGE_NAME_TITLE	Změnit název postavy
SELECT_DELEING	Postava se maže
SELECT_DELETED	Vymazání úspěšné.
SELECT_DO_YOU_DELETE_REALLY	Chceš pokračovat?
SELECT_EMPTY_SLOT	Toto je prázdné pole.
SELECT_INPUT_CHANGING_NAME	Zadej nový název postavy.
SELECT_NOT_JOIN_GUILD	Žádný cech
SHOP_BUY_INFO	Zvol předmět, který chceš koupit, v obchodním okně.
SHOP_CANNOT_SELL_ITEM	Tento předmět není na prodej.
SHOP_ERROR_UNKNOWN	Neznámá chyba v obchodě: %s
SHOP_INVALID_POS	Tento předmět není vhodný.
SHOP_INVENTORY_FULL	V inventáři už není místo.
SHOP_NOT_ENOUGH_MONEY	Nedostatek Yang
SHOP_NOT_ENOUGH_MONEY_EX	Nemáš dostatek Yangů.
SHOP_SELL_INFO	Zvol předmět, který chceš prodat, v okně inventáře.
SHOP_SOLDOUT	Vyprodáno
SHOT_ERROR_UNKNOWN	Neznámá chyba v útoku na dálku: %s
SKILL_BOHO	Reflektovat
SKILL_CHEONGEUN	Silné tělo
SKILL_EUNHYEONG	Neviditelný
SKILL_FIRE	Spálit
SKILL_FISHMIND	Koule na ryby je aktivní
SKILL_GEOMGYEONG	Aura meče
SKILL_GICHEON	Pomoc draka
SKILL_GONGPO	Strach
SKILL_GRADE_NAME_GRAND_MASTER	%s velký mistr
SKILL_GRADE_NAME_MASTER	%s mistr
SKILL_GRADE_NAME_PERFECT_MASTER	%s perfektní mistr
SKILL_GROUP_ASSASSIN_1	Čepel
SKILL_GROUP_ASSASSIN_2	Luk
SKILL_GROUP_HORSE	Jezdecké umění
SKILL_GROUP_SHAMAN_1	Drak
SKILL_GROUP_SHAMAN_2	Uzdravení
SKILL_GROUP_SURA_1	Zbraně
SKILL_GROUP_SURA_2	Magie
SKILL_GROUP_WARRIOR_1	Tělo
SKILL_GROUP_WARRIOR_2	Mentálně
SKILL_GWIGEOM	Začarovaná čepel
SKILL_GYEONGGONG	Polehoučku našlapovat
SKILL_HEUKSIN	Tmavá ochrana
SKILL_HOSIN	Požehnání
SKILL_INC_ATKSPD	Rychlost útoku zvýšena
SKILL_INC_MOVSPD	Rychlost pohybu zvýšena
SKILL_JEONGWI	Bojové zuření
SKILL_JEUNGRYEOK	Útok +
SKILL_JUMAGAP	Začarované brnění
SKILL_KWAESOK	Rychlost
SKILL_MUYEONG	Duch plamene
SKILL_NEED_EMPTY_BOTTLE	Nemám žádnou prázdnou láhev
SKILL_NEED_POISON_BOTTLE	Nemám žádnou láhev s jedem
SKILL_ONLY_FOR_GUILD_WAR	Tuto schopnost můžeš použít jenom ve válce cechů.
SKILL_PABEOP	Zrušit kouzlo
SKILL_POWERFUL_STRIKE	Omračující útok
SKILL_SLOW	Pomalu
SKILL_STUN	Omráčit
SKILL_SUMMON_DESCRIPTION	Šance zaříkávání: %d%%
SKILL_TOOLTIP_INT	Inteligence
SKILL_TOOLTIP_LEVEL	Úroveň
SKILL_TOXICDIE	Otrávení
STAT_MINUS_CON	Přizpůsobení vitality (zbývající šance: %d)
STAT_MINUS_DEX	Přizpůsobení pohyblivosti (zbývající šance: %d)
STAT_MINUS_INT	Přizpůsobení inteligence (zbývající šance: %d)
STAT_MINUS_STR	Přizpůsobení síly (zbývající šance: %d)
STAT_TOOLTIP_CON	ZB a obrana se zlepší
STAT_TOOLTIP_DEX	Útok a vyhýbání se zlepší
STAT_TOOLTIP_INT	Zvyšuje MB, útok magií a obranu
STAT_TOOLTIP_STR	Hodnota útoku a poškození se zlepší
SYMBOLLIST_TITLE	Nahlásit prapor cechu
SYSTEM_OPTION_CPU_TILING_1	Modus CPU-Tiling může zvýšit rychlost slabšího počítače.
SYSTEM_OPTION_CPU_TILING_2	Pokud se vyskytují problémy s grafikou, zvol ,Nastavení systému‘ nebo ,CONFIG.exe‘
SYSTEM_OPTION_CPU_TILING_3	a přepni do GPU-Tiling módu
SYSTEM_OPTION_GPU_TILING_1	Modus GPU-Tiling může na slabších počítačích běžet pomalu
SYSTEM_OPTION_GPU_TILING_2	Pokud se vyskytují problémy s grafikou, zvol ,Nastavení systému‘ nebo ,CONFIG.exe‘
SYSTEM_OPTION_GPU_TILING_3	a přepni do módu CPU-Tiling
SYSTEM_OPTION_TILING_EXIT	Na změnu Tiling-módu musí hra být restartována.
TARGET_BUTTON_ACCEPT_FIGHT	Souhlasit
TARGET_BUTTON_AVENGE	Pomsta
TARGET_BUTTON_BUILDING_DESTROY	Zničit
TARGET_BUTTON_DISMOUNT	Sesednout
TARGET_BUTTON_EMOTION_ALLOW	Emoce
TARGET_BUTTON_EXCHANGE	Obchodování
TARGET_BUTTON_EXCLUDE	Vyloučit
TARGET_BUTTON_EXIT_OBSERVER	Ukončit divácký modus
TARGET_BUTTON_FIGHT	Souboj
TARGET_BUTTON_FRIEND	Přítel
TARGET_BUTTON_INVITE_GUILD	Pozvánka od cechu
TARGET_BUTTON_INVITE_PARTY	Pozvánka od skupiny
TARGET_BUTTON_LEAVE_PARTY	Opustit skupinu
TARGET_BUTTON_REMOVE_GUILD	Odebrat z cechu
TARGET_BUTTON_REQUEST_ENTER_PARTY	Přistoupit ke skupině
TARGET_BUTTON_VIEW_EQUIPMENT	Výzbroj
TARGET_BUTTON_WHISPER	Šeptat
TARGET_LEVEL_BOSS	Boss
TARGET_LEVEL_KING	Stupeň 5.
TARGET_LEVEL_KNIGHT	Stupeň 3.
TARGET_LEVEL_PAWN	Stupeň 1.
TARGET_LEVEL_S_KNIGHT	Stupeň 4.
TARGET_LEVEL_S_PAWN	Stupeň 2.
TASKBAR_ATTACK	Zaútočit
TASKBAR_AUTO	Útočit automaticky
TASKBAR_CAMERA	Kamera
TASKBAR_EXP	Zkušenost
TASKBAR_HP	ZB
TASKBAR_MOVE	Pohybovat
TASKBAR_SKILL	Schopnost
TASKBAR_SP	MB
TASKBAR_ST	VB
THING_COUNT	všichni
TOOLTIP_ANTI_CRITICAL_PCT	Odolnost proti kritickým zásahům +%d%% 	SA
TOOLTIP_ANTI_PENETRATE_PCT	Odolnost proti pronikavým zásahům +%d%% 	SA
TOOLTIP_ANTI_SELL	Nemůže se prodávat v obchodě.
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Silný proti zvířatům +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Silný proti ninjům +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Silný proti ďáblu +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Silný proti pololidem +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Silný proti ezoterikům +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Silný proti příšerám +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Silný proti Orkům +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Silný proti šamanům +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Silný proti surům +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Silný proti nemrtvým +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Silný proti válečníkům +%d%%	SA
TOOLTIP_APPLY_BLOCK	Šance odvrátit tělesný útok %d%%	SA
TOOLTIP_APPLY_CRITICAL_PCT	+%d%% šance na kritický zásah	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% šance dostat při zásahu MB nazpět	SA
TOOLTIP_APPLY_DODGE	%d%% šance vyhnout se šípům	SA
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% šance na bonus BZK	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% šance pustit dvojnásobek Yangů	SA
TOOLTIP_APPLY_IMMUNE_FALL	Imunní proti pádům	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Ochrana proti zpomalení	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Ochrana proti bezvědomí	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% šance, nechat dvojnásobně spadnout předměty	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% šance obnovit ZB	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% šance obnovit MB	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% šance převzít soupeřovy MB	SA
TOOLTIP_APPLY_MAX_HP_PCT	Max. ZB +%d%% 	SA
TOOLTIP_APPLY_MAX_SP_PCT	Max. MB +%d%% 	SA
TOOLTIP_APPLY_NOAFFECT	Žádné následky
TOOLTIP_APPLY_NO_DEATH_PENALTY	Neztratíš žádné zkušenostní body, pokud bude tvá postava oživena na místě, kde zemřela.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	+%d%% šance na pronikavý zásah	SA
TOOLTIP_APPLY_POISON_PCT	Šance na otrávení: %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Odolnost vůči jedu %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	Lektvar %d%% nárůst efektu	SA
TOOLTIP_APPLY_REFLECT_CURSE	%d%% šance odrazit kletbu	SA
TOOLTIP_APPLY_REFLECT_MELEE	%d%% šance odrazit přímý tělesný útok	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	Šance na obranu proti útokům ninjů %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Obrana proti zvonům %d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Obrana proti dýkám %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Obrana proti vějířům %d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Šance ubránit se proti útokům šamanů %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	Šance na obranu proti útokům surů %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	Obrana proti mečům %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Obrana proti obouručním mečům %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Šance na obranu proti útokům válečníků %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	Odolnost proti větru %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Šance při učení z knih je zlepšena o faktor 2,5	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Pokud se učení nezdaří, můžeš hned číst ještě jednou.	SNA
TOOLTIP_APPLY_SLOW_PCT	Šance na zpomalení: %d%%	SA
TOOLTIP_APPLY_STEAL_HP	Poškození %d%% je absorbováno ZB.	SA
TOOLTIP_APPLY_STEAL_SP	Poškození %d%% je absorbováno MB.	SA
TOOLTIP_APPLY_STUN_PCT	Šance na bezvědomí: %d%%	SA
TOOLTIP_ARMOR	Brnění
TOOLTIP_ARROW	Šíp
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATT_GRADE	Hodnota útoku +%d	SA
TOOLTIP_ATT_SPEED	Rychlost útoku +%d%%	SA
TOOLTIP_AUTO_POTION_HP	Elixír Slunce
TOOLTIP_AUTO_POTION_REST	Zbývá: %.2f%%
TOOLTIP_AUTO_POTION_SP	Elixír Měsíce
TOOLTIP_AUTO_POTION_USING	Aktivní
TOOLTIP_BOW_DISTANCE	Dosah luku +%dm	SA
TOOLTIP_BUYPRICE	Cena: %s
TOOLTIP_CAST_SPEED	Rychlost kouzla +%d%%	SA
TOOLTIP_CON	Vitalita +%d	SA
TOOLTIP_COSTUME_ATTR_BONUS	Bonus za kostým %d%%	SA
TOOLTIP_DEF_GRADE	Obrana +%d	SA
TOOLTIP_DEX	Pohyblivost +%d	SA
TOOLTIP_DRAGON_SOUL_DECK1	Země	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Nebesa	SNA
TOOLTIP_EAR	Náušnice
TOOLTIP_ENERGY	Energie %d	SA
TOOLTIP_FISHINGROD_EXP	Body: %d / %d
TOOLTIP_FISHINGROD_LEVEL	Úroveň: %d
TOOLTIP_FISHINGROD_UPGRADE1	Dát rybářovi
TOOLTIP_FISHINGROD_UPGRADE2	abys dostal
TOOLTIP_FISHINGROD_UPGRADE3	zlepšenou udici
TOOLTIP_FISH_LEN	Délka: %.2fcm
TOOLTIP_HELMET	Přílba
TOOLTIP_HP_REGEN	Obnovení ZB +%d%%	SA
TOOLTIP_INT	Inteligence +%d	SA
TOOLTIP_ITEM_ATT_GRADE	Hodnota útoku %d
TOOLTIP_ITEM_ATT_POWER	Hodnota útoku %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Hodnota útoku %d
TOOLTIP_ITEM_ATT_SPEED	Rychlost útoku %s
TOOLTIP_ITEM_DEF_GRADE	Obrana %d
TOOLTIP_ITEM_FAST	Rychle
TOOLTIP_ITEM_LIMIT_CON	Horní hranice vitality: %d
TOOLTIP_ITEM_LIMIT_DEX	Horní hranice pohyblivosti: %d
TOOLTIP_ITEM_LIMIT_INT	Horní hranice inteligence: %d
TOOLTIP_ITEM_LIMIT_LEVEL	Od úrovně: %d
TOOLTIP_ITEM_LIMIT_STR	Horní hranice síly: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Magická hodnota útoku %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Magická hodnota útoku %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Magická obrana %d
TOOLTIP_ITEM_NORMAL	Normální
TOOLTIP_ITEM_SLOW	Pomalu
TOOLTIP_ITEM_VERY_FAST	Velmi rychle
TOOLTIP_ITEM_VERY_SLOW	Velmi pomalu
TOOLTIP_ITEM_WEARABLE_JOB	[ Lze vyzbrojit ]
TOOLTIP_LOTTERY_STEP_NUMBER	%d
TOOLTIP_LOTTO_NUMBER	Šťastné číslo: %d
TOOLTIP_MAGIC_ATTBONUS_PER	Magický útok +%d%% 	SA
TOOLTIP_MAGIC_ATT_GRADE	Magická hodnota útoku +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	Magická obrana +%d	SA
TOOLTIP_MALL_ATTBONUS	Hodnota útoku  +%d%%	SA
TOOLTIP_MALL_ATTBONUS_STATIC	Hodnota útoku +12~15 %	SNA
TOOLTIP_MALL_ATT_SPEED	Rychlost útoku zvýšena +%d%%	SA
TOOLTIP_MALL_AUTOLOOT	Yangy se automaticky sesbírají.	SNA
TOOLTIP_MALL_DEFBONUS	Obrana +%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	Obrana +12~15 %	SNA
TOOLTIP_MALL_EXPBONUS	BZK +%d%%	SA
TOOLTIP_MALL_EXPBONUS_P_STATIC	iCafe bonus BZK +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	O 50 % víc BZK	SNA
TOOLTIP_MALL_FISH_MIND	Šance ulovit rybu je zvýšena.	SNA
TOOLTIP_MALL_GOLDBONUS	Šance na spadlé Yangy (%.1f)	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	Zdvojnásobí šanci na spadnutí Yangů	SNA
TOOLTIP_MALL_ITEMBONUS	Šance ukořistit předměty (%.1f)	SA
TOOLTIP_MALL_ITEMBONUS_P_STATIC	iCafe šance ukořistit předměty plus %.1f%%	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	Zdvojnásobí šanci ukořistit předměty	SNA
TOOLTIP_MALL_MARRIAGE_FAST	Body za lásku narůstají rychleji.	SNA
TOOLTIP_MALL_SAFEBOX	Na skladě je k dispozici více místa.	SNA
TOOLTIP_MAX_HP	Max. ZB +%d	SA
TOOLTIP_MAX_HP_PCT	Max. ZB +%d%%	SA
TOOLTIP_MAX_SP	Max. MB +%d	SA
TOOLTIP_MAX_SP_PCT	Max. MB +%d%%	SA
TOOLTIP_MAX_STAMINA	Max. vytrvalost +%d	SA
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Magický útok/útok zbraní  +%d%% 	SA
TOOLTIP_MEMORIZED_POSITION	%s (%d, %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	Chyba v GPS(%d, %d)
TOOLTIP_MOV_SPEED	Rychlost pohybu %d%%	SA
TOOLTIP_NECK	Náhrdelník
TOOLTIP_NEED_ALL_SP	Potřebné MB: max.
TOOLTIP_NEED_GSP	Potřebný duch draka: %d
TOOLTIP_NEED_HP	Potřebné ZB: %d
TOOLTIP_NEED_HP_PER_SEC	ZB / sek:  %d
TOOLTIP_NEED_SP	Potřebné MB: %d
TOOLTIP_NEED_SP_PER_SEC	MB / sek:  %d
TOOLTIP_NEXT_SKILL_LEVEL_1	Příští úroveň: %d (max. %d)
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Průměrná škoda %d%%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Průměrná odolnost proti škodě %d%%	SA
TOOLTIP_PARTY_SKILL_LEVEL	Aktuální úroveň: %d
TOOLTIP_PICK_EXP	Body: %d / %d
TOOLTIP_PICK_LEVEL	Úroveň: %d
TOOLTIP_PICK_UPGRADE1	Dát dřevorubci
TOOLTIP_PICK_UPGRADE2	abys dostal lepší
TOOLTIP_PICK_UPGRADE3	kopáč.
TOOLTIP_POTION_CURE	Dát negativní efekty do původního stavu.
TOOLTIP_POTION_MIN	min.
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Rychlost útoku: +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	ZB: +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	ZB: +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	Rychlost pohybu: +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	MB: +%d%%
TOOLTIP_POTION_PLUS_SP_POINT	MB: +%d
TOOLTIP_POTION_SEC	sek.
TOOLTIP_POTION_TIME	Doba:
TOOLTIP_REQUIREMENT_SKILL_LEVEL	Je zapotřebí %s úroveň %d
TOOLTIP_REQUIREMENT_STAT_LEVEL	Je zapotřebí %s %d
TOOLTIP_RESIST_BOW	Odolnost proti šípům %d%%	SA
TOOLTIP_RESIST_DARK	Odolnost vůči temnotě +%d%% 	SA
TOOLTIP_RESIST_EARTH	Odolnost Zemi +%d%% 	SA
TOOLTIP_RESIST_ELEC	Odolnost proti blesku %d%%	SA
TOOLTIP_RESIST_FIRE	Odolnost proti ohni %d%%	SA
TOOLTIP_RESIST_ICE	Odolnost ledu +%d%% 	SA
TOOLTIP_RESIST_MAGIC	Odolnost proti magii %d%%	SA
TOOLTIP_REST_USABLE_COUNT	Zbývá: %d
TOOLTIP_SELLPRICE	Cena: %s
TOOLTIP_SHAMAN	Šaman
TOOLTIP_SHIELD	Štít
TOOLTIP_SHOES	Boty
TOOLTIP_SKILLBOOK_NAME	Kniha schopností
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Hodnota útoku: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Hodnota útoku:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Rychlost útoku: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Obrana:
TOOLTIP_SKILL_AFFECT_DODGE	Soupeřova hodnota útoku:
TOOLTIP_SKILL_AFFECT_HEAL	Obnovit ZB:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Rychlost pohybu: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Šance odrazit tělesný útok:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Odolnost proti tělesné újmě:
TOOLTIP_SKILL_COOL_TIME	Doba nabíjení:
TOOLTIP_SKILL_DAMAGE_BONUS	Poškození schopností: %d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS	Odolnost proti poškození schopností %d%%	SA
TOOLTIP_SKILL_DURATION	Doba: %d sek.
TOOLTIP_SKILL_FORGET_BOOK_NAME	Kniha zapomnění
TOOLTIP_SKILL_LEVEL	Aktuální úroveň: %d
TOOLTIP_SKILL_LEVEL_MASTER	Aktuální úroveň: %d (mistr)
TOOLTIP_SKILL_LEVEL_WITH_MAX	Aktuální úroveň: %d (max. %d)
TOOLTIP_SOCKET_EMPTY	Prázdný
TOOLTIP_SOCKET_REFINABLE_ITEM	[Předmět s úchytem]
TOOLTIP_SP_REGEN	Obnovení MB +%d%%	SA
TOOLTIP_STR	Síla +%d	SA
TOOLTIP_SURA	Sura
TOOLTIP_TIME_CHARGER_FIX	Čas nabíjení %d vteřin. 	SA
TOOLTIP_TIME_CHARGER_PER	Čas nabíjení %d%%	SA
TOOLTIP_UNIQUE	Jedinečný
TOOLTIP_WARRIOR	Válečník
TOOLTIP_WEAPON	Zbraň
TOOLTIP_WRISTLET	Náramek
UI_ACCEPT	Přijmout
UI_CANCEL	Zrušit
UI_CLOSE	Zavřít
UI_DEF_FONT	Tahoma:12
UI_DEF_FONT_LARGE	Tahoma:14
UI_DEF_FONT_SMALL	Tahoma:9
UI_DENY	Odmítnout
UI_ITEM	Předmět
UI_LEFT_TIME	Zbývající čas: %d sek.
UI_NEXT	Dále
UI_NEXTPAGE	Další
UI_NOCONTENTS	Bez obsahu
UI_NONAME	Chybí jméno	
UI_OK	OK
UI_POS_UNKNOWN	Neznámé místo
UI_PREVPAGE	zpět
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	Upload musí být proveden ještě jednou
USE_ITEM_FAILURE_PRIVATE_SHOP	Pokud jsi otevřel soukromý stánek, nemůžeš použít tento předmět.
ITEM_GET	Získáno: %s	SA
ITEM_GET_FROM_PARTY	Získáno: %s od %s	SAA
ITEM_DELIVER_TO_PARTY	Doručeno: %s pro %s	SAA
